연번,호선,고유역번호(외부역코드),역명,수송연월,하차인원수
1,1,150,서울역(1),Jan-22,1050145
2,1,151,시청(1),Jan-22,508237
3,1,152,종각,Jan-22,796150
4,1,153,종로3가(1),Jan-22,601965
5,1,154,종로5가,Jan-22,552920
6,1,155,동대문(1),Jan-22,281274
7,1,156,신설동(1),Jan-22,338965
8,1,157,제기동,Jan-22,492913
9,1,158,청량리,Jan-22,544757
10,1,159,동묘앞(1),Jan-22,255518
11,2,201,시청(2),Jan-22,504488
12,2,202,을지로입구,Jan-22,952048
13,2,203,을지로3가(2),Jan-22,524327
14,2,204,을지로4가(2),Jan-22,303297
15,2,205,동대문역사문화공원(2),Jan-22,356653
16,2,206,신당(2),Jan-22,371778
17,2,207,상왕십리,Jan-22,350972
18,2,208,왕십리(2),Jan-22,346966
19,2,209,한양대,Jan-22,170492
20,2,210,뚝섬,Jan-22,576861
21,2,211,성수,Jan-22,984953
22,2,212,건대입구(2),Jan-22,1016924
23,2,213,구의,Jan-22,595740
24,2,214,강변,Jan-22,783866
25,2,215,잠실나루,Jan-22,337170
26,2,216,잠실(2),Jan-22,1818865
27,2,217,잠실새내,Jan-22,550080
28,2,218,종합운동장(2),Jan-22,207320
29,2,219,삼성,Jan-22,1273126
30,2,220,선릉,Jan-22,1163713
31,2,221,역삼,Jan-22,1352638
32,2,222,강남,Jan-22,2149571
33,2,223,교대(2),Jan-22,902146
34,2,224,서초,Jan-22,502350
35,2,225,방배,Jan-22,416331
36,2,226,사당(2),Jan-22,1032181
37,2,227,낙성대,Jan-22,677609
38,2,228,서울대입구,Jan-22,1205414
39,2,229,봉천,Jan-22,568513
40,2,230,신림,Jan-22,1609570
41,2,231,신대방,Jan-22,664763
42,2,232,구로디지털단지,Jan-22,1457395
43,2,233,대림(2),Jan-22,638186
44,2,234,신도림,Jan-22,1215029
45,2,235,문래,Jan-22,527164
46,2,236,영등포구청(2),Jan-22,572004
47,2,237,당산,Jan-22,517697
48,2,238,합정(2),Jan-22,859535
49,2,239,홍대입구,Jan-22,1589013
50,2,240,신촌,Jan-22,870854
51,2,241,이대,Jan-22,338601
52,2,242,아현,Jan-22,245880
53,2,243,충정로(2),Jan-22,250860
54,2,244,용답,Jan-22,74682
55,2,245,신답,Jan-22,48257
56,2,246,신설동(2),Jan-22,101233
57,2,247,도림천,Jan-22,36168
58,2,248,양천구청,Jan-22,182442
59,2,249,신정네거리,Jan-22,272239
60,2,250,용두,Jan-22,65638
61,3,309,지축,Jan-22,109941
62,3,310,구파발,Jan-22,503574
63,3,311,연신내(3),Jan-22,899611
64,3,312,불광(3),Jan-22,451915
65,3,313,녹번,Jan-22,352932
66,3,314,홍제,Jan-22,417966
67,3,315,무악재,Jan-22,101530
68,3,316,독립문,Jan-22,179555
