객체id,현황도형 관리번호,도형 대분류코드,도형 중분류코드,도형 소분류코드,도형 속성코드,도형 조서관리 코드,결정고시관리코드,라벨명,시군구코드,도면번호,현황도형 생성일시,면적(도형),길이(도형)
166362,11000UQ111PS201912154282,UQA100,UQA130, ,UQA130,11000ARZ201005074979,11000NTC201004274829,준주거지역,11000, ,00:00.0,43487.27232,1763.102023
166363,11000UQ111PS202007196869,UQA100,UQA110,UQA111,UQA111,11000ARZ000000001111, ,제1종전용주거지역,11000, ,00:00.0,55757.9602,2968.339253
166364,11000UQ111PS201912153614,UQA100,UQA120,UQA122,UQA122,11000ARZ000000001111, ,제2종일반주거지역,11000, ,00:00.0,99520.4112,3029.217103
166365,11000UQ111PS201912156340,UQA400,UQA430, ,UQA430,11000ARZ000000001111, ,자연녹지지역,11000, ,00:00.0,13532.11876,468.5368272
166366,11000UQ111PS201912156232,UQA300,UQA330, ,UQA330,11000ARZ000000001111, ,준공업지역,11000, ,00:00.0,2038220.674,6586.616245
166367,11000UQ111PS201912156202,UQA300,UQA330, ,UQA330,11000ARZ201706015666,11000NTC201612017952,중공업지역,11000, ,00:00.0,272457.7068,2946.715586
166368,11000UQ111PS201912156230,UQA300,UQA330, ,UQA330,11000ARZ201003265628,11000NTC201002114512,준공업지역,11000, ,00:00.0,3906.694056,489.6119944
166401,11000UQ111PS201912156116,UQA200,UQA220, ,UQA220,11000ARZ200911175330,11000NTC200805291982,일반상업지역,11000, ,00:00.0,22369.65421,1153.966199
166402,11000UQ111PS201912156118,UQA200,UQA220, ,UQA220,11000ARZ000000001111, ,일반상업지역,11000, ,00:00.0,6521.010288,947.1804857
166403,11000UQ111PS201912156119,UQA200,UQA220, ,UQA220,11000ARZ201203205421,11000NTC201203156440,일반상업지역,11000, ,00:00.0,5879.615226,297.8943615
166404,11000UQ111PS201912156120,UQA200,UQA220, ,UQA220,11000ARZ201704065500,11000NTC201704068074,일반상업지역,11000, ,00:00.0,3279.487451,231.1299934
166405,11000UQ111PS201912156045,UQA200,UQA220, ,UQA220,11000ARZ000000001111, ,일반상업지역,11000, ,00:00.0,2252.737606,391.0022896
166406,11000UQ111PS201912155799,UQA200,UQA220, ,UQA220,11000ARZ199606030215,11000NTC199606036077,일반상업지역,11000, ,00:00.0,63837.65854,2586.208389
166407,11000UQ111PS201912156183,UQA200,UQA220, ,UQA220,11000ARZ200011040419,11000NTC200011049975,일반상업지역,11000, ,00:00.0,20713.77812,713.3527205
166408,11000UQ111PS201912156184,UQA200,UQA220, ,UQA220,11000ARZ201908200004,11000NTC201908011026,일반상업지역,11000, ,00:00.0,5805.103261,319.935447
166409,11000UQ111PS201912156188,UQA200,UQA220, ,UQA220,11000ARZ201910040126,11000NTC201909261132,일반상업지역,11000, ,00:00.0,1613.435391,168.8495589
166410,11000UQ111PS201912156023,UQA200,UQA220, ,UQA220,11000ARZ000000001111, ,일반상업지역,11000, ,00:00.0,9604.863265,1567.215464
166411,11000UQ111PS201912155970,UQA200,UQA220, ,UQA220,11000ARZ000000001111, ,일반상업지역,11000, ,00:00.0,202.6950273,61.1476537
166412,11000UQ111PS201912155971,UQA200,UQA220, ,UQA220,11000ARZ000000001111, ,일반상업지역,11000, ,00:00.0,897.3506539,165.3890725
166413,11000UQ111PS201912155972,UQA200,UQA220, ,UQA220,11000ARZ000000001111, ,일반상업지역,11000, ,00:00.0,1214.408626,145.5854678
166414,11000UQ111PS201912155973,UQA200,UQA220, ,UQA220,11000ARZ000000001111, ,일반상업지역,11000, ,00:00.0,1131.538929,211.0985498
166415,11000UQ111PS201912155999,UQA200,UQA220, ,UQA220,11000ARZ000000001111, ,일반상업지역,11000, ,00:00.0,153910.4589,3108.871015
166416,11000UQ111PS201912155821,UQA200,UQA220, ,UQA220,11000ARZ201805165559,11000NTC201802228383,일반상업지역,11000, ,00:00.0,1515.460245,358.9143209
166417,11000UQ111PS201912154516,UQA100,UQA130, ,UQA130,11000ARZ200910204900,11000NTC200711291620,준주거지역,11000, ,00:00.0,31143.00972,2423.2637
166418,11000UQ111PS201912154243,UQA100,UQA130, ,UQA130,11000ARZ199409260116,11000NTC199409264771,준주거지역,11000, ,00:00.0,0.00341802,2.47420148
166419,11000UQ111PS201912155161,UQA100,UQA130, ,UQA130,11000ARZ200206201158,11000NTC200206202714,준주거지역,11000, ,00:00.0,161550.5131,2828.131721
166420,11000UQ111PS202007126955,UQA999, , ,UQA999,11000ARZ000000001111, ,기타 도시지역,11000, ,00:00.0,3363.145522,482.7190376
166421,11000UQ111PS202007126970,UQA999, , ,UQA999,11000ARZ000000001111, ,기타 도시지역,11000, ,00:00.0,4.4959622,54.27494734
166422,11000UQ111PS202007126973,UQA999, , ,UQA999,11000ARZ000000001111, ,기타 도시지역,11000, ,00:00.0,3.18094815,28.6735431
166423,11000UQ111PS202007126974,UQA999, , ,UQA999,11000ARZ000000001111, ,기타 도시지역,11000, ,00:00.0,1.49225034,78.42416906
166424,11000UQ111PS202007126980,UQA999, , ,UQA999,11000ARZ000000001111, ,기타 도시지역,11000, ,00:00.0,1.07969072,47.42299011
166425,11000UQ111PS202007126981,UQA999, , ,UQA999,11000ARZ000000001111, ,기타 도시지역,11000, ,00:00.0,3.30856691,77.9678731
166426,11000UQ111PS202007126986,UQA999, , ,UQA999,11000ARZ000000001111, ,기타 도시지역,11000, ,00:00.0,2010.958302,217.0420227
166427,11000UQ111PS202007126989,UQA999, , ,UQA999,11000ARZ000000001111, ,기타 도시지역,11000, ,00:00.0,16.60255363,166.6464717
166428,11000UQ111PS202007126994,UQA999, , ,UQA999,11000ARZ000000001111, ,기타 도시지역,11000, ,00:00.0,587.5227093,352.5187347
166429,11000UQ111PS202007126995,UQA999, , ,UQA999,11000ARZ000000001111, ,기타 도시지역,11000, ,00:00.0,6.43775809,27.08728748
166430,11000UQ111PS202007126996,UQA999, , ,UQA999,11000ARZ000000001111, ,기타 도시지역,11000, ,00:00.0,1559.349463,447.3580975
166431,11000UQ111PS202007126997,UQA999, , ,UQA999,11000ARZ000000001111, ,기타 도시지역,11000, ,00:00.0,53.99532986,93.1602625
166432,11000UQ111PS202007127003,UQA999, , ,UQA999,11000ARZ000000001111, ,기타 도시지역,11000, ,00:00.0,3.39935297,58.72198612
166433,11000UQ111PS202007126937,UQA999, , ,UQA999,11000ARZ000000001111, ,기타 도시지역,11000, ,00:00.0,3.119745,17.63202951
166434,11000UQ111PS202007126938,UQA999, , ,UQA999,11000ARZ000000001111, ,기타 도시지역,11000, ,00:00.0,4314.493788,414.2379326
166435,11000UQ111PS202007126939,UQA999, , ,UQA999,11000ARZ000000001111, ,기타 도시지역,11000, ,00:00.0,2.26119997,71.86527292
166436,11000UQ111PS202007126940,UQA999, , ,UQA999,11000ARZ000000001111, ,기타 도시지역,11000, ,00:00.0,53.54045478,194.294505
166437,11000UQ111PS202007126941,UQA999, , ,UQA999,11000ARZ000000001111, ,기타 도시지역,11000, ,00:00.0,1.70179907,18.12521647
166438,11000UQ111PS201912155399,UQA100,UQA130, ,UQA130,11000ARZ000000001111, ,준주거지역,11000, ,00:00.0,1670.979062,247.5381476
166439,11000UQ111PS201912155745,UQA100,UQA130, ,UQA130,11000ARZ201901060021,11000NTC201901061530,준주거지역,11000, ,00:00.0,545.7632935,236.5655567
166440,11000UQ111PS201912155746,UQA100,UQA130, ,UQA130,11000ARZ201904040155,11000NTC201904043290,준주거지역,11000, ,00:00.0,8361.609636,426.7425604
166441,11000UQ111PS202007126908,UQA999, , ,UQA999,11000ARZ000000001111, ,기타 도시지역,11000, ,00:00.0,12.3150004,18.85037464
166442,11000UQ111PS202007126910,UQA999, , ,UQA999,11000ARZ000000001111, ,기타 도시지역,11000, ,00:00.0,862.4607625,308.7970286
166443,11000UQ111PS202007126914,UQA999, , ,UQA999,11000ARZ000000001111, ,기타 도시지역,11000, ,00:00.0,35.71970983,129.3422482
166444,11000UQ111PS202007126916,UQA999, , ,UQA999,11000ARZ000000001111, ,기타 도시지역,11000, ,00:00.0,43.73448529,143.7577171
166445,11000UQ111PS202007126917,UQA999, , ,UQA999,11000ARZ000000001111, ,기타 도시지역,11000, ,00:00.0,1.14456894,13.1522529
166446,11000UQ111PS202007126918,UQA999, , ,UQA999,11000ARZ000000001111, ,기타 도시지역,11000, ,00:00.0,82.82831156,88.06344072
166447,11000UQ111PS202007126920,UQA999, , ,UQA999,11000ARZ000000001111, ,기타 도시지역,11000, ,00:00.0,1.27813141,40.50952092
166448,11000UQ111PS201912156425,UQA400,UQA430, ,UQA430,11000ARZ000000001111, ,자연녹지지역,11000, ,00:00.0,219894.5731,3022.515758
166449,11000UQ111PS202002030006,UQA400,UQA430, ,UQA430,11000ARZ202001280013,11000NTC202001280023,자연녹지지역,11000, ,00:00.0,706482.6741,5139.536218
166450,11000UQ111PS201912156408,UQA400,UQA430, ,UQA430,11000ARZ000000001111, ,자연녹지지역,11000, ,00:00.0,48159.66371,2751.82802
166451,11000UQ111PS201912156409,UQA400,UQA430, ,UQA430,11000ARZ000000001111, ,자연녹지지역,11000, ,00:00.0,4237854.524,21911.14454
166452,11000UQ111PS201912156411,UQA400,UQA430, ,UQA430,11000ARZ000000001111, ,자연녹지지역,11000, ,00:00.0,971.4714875,233.9252074
166453,11000UQ111PS201912156412,UQA400,UQA430, ,UQA430,11000ARZ000000001111, ,자연녹지지역,11000, ,00:00.0,34646.77736,765.0025932
166454,11000UQ111PS201912156413,UQA400,UQA430, ,UQA430,11000ARZ000000001111, ,자연녹지지역,11000, ,00:00.0,17946.24583,650.7500387
166455,11000UQ111PS202007070002,UQA100,UQA130, ,UQA130,11680ARZ202007060002,11000NTC202007060008,준주거지역,11000, ,00:00.0,54202.26593,1613.625924
166456,11000UQ111PS201905210158,UQA100,UQA130, ,UQA130,11000ARZ201706125203,11000NTC201611107933,준주거지역,11000, ,00:00.0,129981.4838,6138.268467
166457,11000UQ111PS201912156031,UQA200,UQA220, ,UQA220,11000ARZ000000001111, ,일반상업지역,11000, ,00:00.0,22807.72785,1094.017853
166458,11000UQ111PS201912156034,UQA200,UQA220, ,UQA220,11000ARZ200911275360,11000NTC200906183489,일반상업지역,11000, ,00:00.0,243454.3313,2711.754913
166459,11000UQ111PS201912156014,UQA200,UQA220, ,UQA220,11000ARZ000000001111, ,일반상업지역,11000, ,00:00.0,12959.73449,2236.253446
166460,11000UQ111PS201912156015,UQA200,UQA220, ,UQA220,11000ARZ000000001111, ,일반상업지역,11000, ,00:00.0,10989.60077,1871.811266
166461,11000UQ111PS201912155831,UQA200,UQA220, ,UQA220,11000ARZ000000001111, ,일반상업지역,11000, ,00:00.0,3185.843963,637.0772623
166462,11000UQ111PS201912156037,UQA200,UQA220, ,UQA220,11000ARZ000000001111, ,일반상업지역,11000, ,00:00.0,14263.97251,2224.013008
166463,11000UQ111PS201912155983,UQA200,UQA220, ,UQA220,11000ARZ000000001111, ,일반상업지역,11000, ,00:00.0,160346.1995,2205.342716
166464,11000UQ111PS201912155984,UQA200,UQA220, ,UQA220,11000ARZ000000001111, ,일반상업지역,11000, ,00:00.0,148814.975,1996.668951
166465,11000UQ111PS201912155060,UQA100,UQA130, ,UQA130,11000ARZ201807025286,11000NTC201806219579,준주거지역,11000, ,00:00.0,13313.40924,639.5810176
166466,11000UQ111PS201912154570,UQA100,UQA130, ,UQA130,11000ARZ201710165224,11000NTC201709288291,준주거지역,11000, ,00:00.0,36799.4794,1813.402005
166467,11000UQ111PS201912154572,UQA100,UQA130, ,UQA130,11000ARZ000000001111, ,준주거지역,11000, ,00:00.0,15040.8805,1036.664408
166468,11000UQ111PS201912155083,UQA100,UQA130, ,UQA130,11000ARZ201004054973,11000NTC201004014713,준주거지역,11000, ,00:00.0,16375.54016,513.100481
166469,11000UQ111PS201912154766,UQA100,UQA130, ,UQA130,11000ARZ199603110169,11000NTC199603115875,준주거지역,11000, ,00:00.0,55802.62562,1039.569209
166470,11000UQ111PS201912154176,UQA100,UQA130, ,UQA130,11000ARZ000000001111, ,준주거지역,11000, ,00:00.0,23652.31185,1908.971786
166471,11000UQ111PS201912156234,UQA300,UQA330, ,UQA330,11000ARZ000000001111, ,준공업지역,11000, ,00:00.0,589895.2001,3114.930459
166472,11000UQ111PS201912156235,UQA300,UQA330, ,UQA330,11000ARZ000000001111, ,준공업지역,11000, ,00:00.0,25314.98122,644.3298474
166473,11000UQ111PS201912156237,UQA300,UQA330, ,UQA330,11000ARZ000000001111, ,준공업지역,11000, ,00:00.0,615470.1338,4816.602999
166474,11000UQ111PS201912156224,UQA300,UQA330, ,UQA330,11000ARZ201309105644,11000NTC201308226916,준공업지역,11000, ,00:00.0,4097732.124,19297.41705
166475,11000UQ111PS201912156349,UQA400,UQA430, ,UQA430,11000ARZ200004040394,11000NTC200004049482,자연녹지지역,11000, ,00:00.0,108951.7669,1727.445353
166476,11000UQ111PS201912156350,UQA400,UQA430, ,UQA430,11000ARZ201904050161,11000NTC201904053330,자연녹지지역,11000, ,00:00.0,3347.561163,257.3196814
166477,11000UQ111PS201912156351,UQA400,UQA430, ,UQA430,11000ARZ000000001111, ,자연녹지지역,11000, ,00:00.0,6586.555462,374.1045847
166478,11000UQ111PS201912156352,UQA400,UQA430, ,UQA430,11000ARZ000000001111, ,자연녹지지역,11000, ,00:00.0,1485.714182,424.2171945
