시간대구분,자치구코드,인구수
0,111123,212008.0043
0,111121,168265.2594
0,111131,255089.072
0,111142,316715.4705
0,111141,363082.1809
0,111152,348026.6707
0,111151,368538.3823
0,111161,434512.7856
0,111291,303106.1838
0,111171,278666.0021
0,111311,514277.0491
0,111181,455469.3291
0,111191,345306.1732
0,111201,427147.7323
0,111301,377483.5409
0,111212,544158.9152
0,111221,383346.2983
0,111281,199202.7053
0,111231,411854.6796
0,111241,395591.5492
0,111251,495772.2894
0,111262,467171.3242
0,111261,666005.3814
0,111273,725772.1176
0,111274,522092.6618
1,111123,208282.2681
1,111121,163578.4286
1,111131,252494.8276
1,111142,316577.2093
1,111141,363344.6344
1,111152,348478.819
1,111151,370367.5826
1,111161,435278.4734
1,111291,303884.512
1,111171,280089.411
1,111311,513929.27
1,111181,457604.633
1,111191,345266.1485
1,111201,422877.5416
1,111301,377852.4605
1,111212,545634.3786
1,111221,383583.1536
1,111281,199736.4887
1,111231,409972.8356
1,111241,396268.4814
1,111251,498241.8749
1,111262,463516.6264
1,111261,658038.9782
1,111273,723007.4508
1,111274,520876.096
2,111123,205990.5626
2,111121,161195.1779
2,111131,251308.3934
2,111142,316608.3439
2,111141,363289.0838
2,111152,348465.3503
2,111151,371249.746
2,111161,436140.3465
2,111291,304354.1959
2,111171,281520.6994
2,111311,514526.6767
2,111181,458626.1414
2,111191,346521.1513
2,111201,419001.7658
2,111301,378421.6726
2,111212,546700.6662
2,111221,383959.5846
2,111281,199554.0064
2,111231,408575.6416
2,111241,396908.0429
2,111251,499542.3982
2,111262,460465.155
2,111261,654649.1538
2,111273,718271.4714
2,111274,525514.3383
3,111123,204604.9652
3,111121,159200.2934
3,111131,250858.6427
3,111142,317826.4643
3,111141,362483.8768
3,111152,348772.1886
3,111151,371850.4922
3,111161,436886.4544
3,111291,304433.3685
3,111171,282017.2166
3,111311,514968.66
3,111181,459679.1992
3,111191,347071.7171
3,111201,415509.6953
3,111301,379105.8608
3,111212,547389.3244
3,111221,383878.0006
3,111281,200250.0205
3,111231,407917.7556
3,111241,397867.6631
3,111251,499535.7869
3,111262,458364.1146
3,111261,650093.1167
3,111273,718238.0438
3,111274,526095.0778
4,111123,204042.4082
4,111121,160050.7872
4,111131,252322.5188
4,111142,318075.7069
4,111141,362491.4528
4,111152,349392.1503
4,111151,371680.6151
4,111161,437969.8677
4,111291,302910.3381
4,111171,281643.0286
4,111311,514728.4933
4,111181,458632.6417
4,111191,347465.8801
4,111201,413540.4339
4,111301,378113.0458
4,111212,548229.6216
4,111221,384462.8291
4,111281,199779.3547
4,111231,409857.5133
4,111241,397419.0507
4,111251,498336.9839
4,111262,458214.5189
4,111261,648949.2889
4,111273,717586.1756
4,111274,526194.538
5,111123,205877.8556
5,111121,162357.2227
5,111131,255073.7168
5,111142,319471.9963
5,111141,361130.2101
5,111152,349724.8816
5,111151,368410.431
5,111161,436813.344
5,111291,299721.3863
5,111171,280382.6926
5,111311,511949.1979
5,111181,455897.6797
5,111191,346055.5955
5,111201,412136.3084
5,111301,376536.8848
5,111212,549524.5348
5,111221,379034.7457
5,111281,198164.0894
5,111231,408918.6799
5,111241,397514.551
5,111251,494905.5096
5,111262,464767.0649
5,111261,651762.4385
5,111273,719062.7258
5,111274,526114.7036
6,111123,210502.0417
6,111121,169274.1266
6,111131,258861.3304
6,111142,320984.808
6,111141,359053.7413
6,111152,350035.5173
6,111151,363042.2639
6,111161,432418.9726
6,111291,294576.1085
6,111171,277417.7643
6,111311,505933.4542
6,111181,450281.1287
6,111191,344420.1861
6,111201,409508.8709
6,111301,373024.5247
6,111212,546729.56
6,111221,373396.3229
6,111281,198026.396
6,111231,407159.9761
6,111241,395257.8426
6,111251,488111.4807
6,111262,476230.0928
6,111261,664031.8197
6,111273,718039.9273
6,111274,522025.3542
7,111123,222612.0242
7,111121,177887.4065
7,111131,263900.5592
7,111142,321884.9874
7,111141,358703.5742
7,111152,351083.7313
7,111151,358177.1643
7,111161,429407.1913
7,111291,289837.1566
7,111171,275117.3793
7,111311,501467.9954
7,111181,443397.5194
7,111191,341736.3008
7,111201,408853.7444
7,111301,367830.7396
7,111212,542832.6134
7,111221,370261.17
7,111281,197079.6723
7,111231,408806.1697
7,111241,392581.7791
7,111251,481446.4757
7,111262,483228.8149
7,111261,674418.6606
7,111273,715255.4362
7,111274,513326.7466
8,111123,234352.1254
8,111121,194909.6597
8,111131,268431.1831
8,111142,325606.9122
8,111141,357487.3857
8,111152,351623.8962
8,111151,352495.5883
8,111161,424655.7997
8,111291,286067.9854
8,111171,271206.8936
8,111311,495243.644
8,111181,434862.0913
8,111191,342436.584
8,111201,412413.9887
8,111301,363321.1505
8,111212,535699.2744
8,111221,369869.7538
8,111281,197584.5762
8,111231,414868.079
8,111241,392420.6738
8,111251,471684.4576
8,111262,500671.1066
8,111261,700487.9864
8,111273,713029.719
8,111274,504293.8623
9,111123,255178.6564
9,111121,215198.5633
9,111131,277532.6194
9,111142,327849.7668
9,111141,354669.4855
9,111152,349220.9911
9,111151,344371.1515
9,111161,416971.9886
9,111291,281328.0933
9,111171,265812.6145
9,111311,489620.5198
9,111181,425157.1593
9,111191,342638.8821
9,111201,419322.438
9,111301,362312.2866
9,111212,529122.4804
9,111221,362774.9679
9,111281,196772.2881
9,111231,421817.0874
9,111241,383953.2598
9,111251,461327.4323
9,111262,530891.2082
9,111261,740456.2996
9,111273,716346.9676
9,111274,493888.2415
10,111123,281036.1102
10,111121,237956.2116
10,111131,281146.0509
10,111142,328215.4623
10,111141,355968.0061
10,111152,347288.135
10,111151,336467.0954
10,111161,408423.8612
10,111291,276590.3908
10,111171,262184.8517
10,111311,482659.5248
10,111181,414103.7862
10,111191,341215.8236
10,111201,431093.4317
10,111301,358497.3598
10,111212,524309.5609
10,111221,363656.2085
10,111281,195717.3311
10,111231,434876.9556
10,111241,374714.357
10,111251,451840.3164
10,111262,553941.1442
10,111261,772171.0185
10,111273,718892.6417
10,111274,483673.6042
11,111123,309042.7604
11,111121,264736.5909
11,111131,289272.0665
11,111142,329112.9443
11,111141,356389.4998
11,111152,343570.5171
11,111151,330997.4224
11,111161,400984.6786
11,111291,272652.7999
11,111171,258911.1487
11,111311,473699.3555
11,111181,403720.8804
11,111191,338591.5365
11,111201,447286.1002
11,111301,354696.3103
11,111212,520954.8509
11,111221,361263.1714
11,111281,193245.0166
11,111231,448572.014
11,111241,365773.7869
11,111251,444913.5382
11,111262,565395.5972
11,111261,797040.975
11,111273,721969.386
11,111274,475758.0459
12,111123,334183.626
12,111121,284046.9187
12,111131,296268.2292
12,111142,334206.3958
12,111141,362206.8978
12,111152,341187.1313
12,111151,325132.0726
12,111161,394747.189
12,111291,270778.4993
12,111171,252554.2809
12,111311,468645.9198
12,111181,394733.1903
12,111191,337548.648
12,111201,460771.0857
12,111301,351711.1115
12,111212,514481.8093
12,111221,357070.1659
12,111281,192094.889
12,111231,461441.336
12,111241,358957.1197
12,111251,437550.6458
12,111262,573640.9371
12,111261,815573.5894
12,111273,726952.1639
12,111274,470279.5571
13,111123,356883.1387
13,111121,298694.6807
13,111131,303740.0337
13,111142,335928.8683
13,111141,366039.5324
13,111152,341086.6989
13,111151,320872.2083
13,111161,390145.3415
13,111291,268485.8952
13,111171,250304.9798
13,111311,463527.0228
13,111181,387900.6761
13,111191,335773.0176
13,111201,469556.0935
13,111301,347516.2761
13,111212,507114.4422
13,111221,355441.8451
13,111281,190126.0415
13,111231,467286.9132
13,111241,355439.3483
13,111251,429172.4995
13,111262,578023.4574
13,111261,825690.9588
13,111273,734228.9951
13,111274,464183.6295
14,111123,370882.6131
14,111121,305630.3476
14,111131,303766.7064
14,111142,338882.9581
14,111141,367724.324
14,111152,339289.8452
14,111151,317832.3939
14,111161,385407.4144
14,111291,266360.6738
14,111171,250138.8923
14,111311,463775.4887
14,111181,386533.161
14,111191,333707.0846
14,111201,477718.6765
14,111301,343809.0714
14,111212,505001.8589
14,111221,356772.4686
14,111281,191663.7643
14,111231,475738.4677
14,111241,350905.7026
14,111251,423779.0073
14,111262,574947.7812
14,111261,826023.5366
14,111273,738599.9862
14,111274,460905.7279
15,111123,367583.966
15,111121,307959.9027
15,111131,311618.979
15,111142,343278.471
15,111141,371989.9944
15,111152,335456.6328
15,111151,318840.1044
15,111161,384967.8978
15,111291,266675.8237
15,111171,248962.8803
15,111311,463552.3399
15,111181,386740.1982
15,111191,333514.6314
15,111201,482010.9806
15,111301,343019.6188
15,111212,503082.2038
15,111221,356910.2696
15,111281,190949.1003
15,111231,482381.0111
15,111241,351633.2824
15,111251,421608.0366
15,111262,568951.3199
15,111261,820435.3461
15,111273,744977.0957
15,111274,460125.4188
16,111123,354424.7352
16,111121,308253.513
16,111131,312021.2307
16,111142,347913.0746
16,111141,371993.4921
16,111152,332460.364
16,111151,325104.0818
16,111161,386736.624
16,111291,267528.8569
16,111171,252061.0648
16,111311,464866.2084
16,111181,389209.2373
16,111191,330866.6488
16,111201,490262.5764
16,111301,343020.642
16,111212,501339.1658
16,111221,359807.5274
16,111281,193437.7832
16,111231,486169.3422
16,111241,355272.701
16,111251,422481.9514
16,111262,563552.1504
16,111261,810303.8742
16,111273,752689.949
16,111274,462182.8224
17,111123,328077.051
17,111121,299526.8219
17,111131,308919.9832
17,111142,344224.4824
17,111141,375176.9356
17,111152,328782.0244
17,111151,328995.2607
17,111161,390826.1022
17,111291,271362.1659
17,111171,252607.2616
17,111311,471475.462
17,111181,395974.7669
17,111191,328117.5911
17,111201,495045.2306
17,111301,347248.7115
17,111212,502712.1088
17,111221,362355.1068
17,111281,193414.2061
17,111231,487209.6162
17,111241,356568.2142
17,111251,428623.5732
17,111262,555700.4395
17,111261,795900.7435
17,111273,755719.308
17,111274,468100.2135
18,111123,306591.1559
18,111121,284105.8022
18,111131,301532.6045
18,111142,337874.6423
18,111141,376163.5361
18,111152,323832.3915
18,111151,337455.9622
18,111161,397294.6562
18,111291,277994.1121
18,111171,256776.5411
18,111311,476729.1427
18,111181,406396.1861
18,111191,329237.4966
18,111201,493518.7706
18,111301,352425.5281
18,111212,507058.4072
18,111221,368412.6138
18,111281,193572.7806
18,111231,476453.2226
18,111241,362851.6626
18,111251,438920.4584
18,111262,545558.8986
18,111261,775226.6041
18,111273,752417.6276
18,111274,477211.8157
19,111123,288333.2857
19,111121,251049.369
19,111131,311666.3422
19,111142,333896.1269
19,111141,376353.2595
19,111152,324847.7474
19,111151,342129.0382
19,111161,403984.194
19,111291,283623.1162
19,111171,261678.2959
19,111311,483319.3804
19,111181,415733.2993
19,111191,333191.3491
19,111201,489078.1047
19,111301,359000.7604
19,111212,511882.9831
19,111221,371470.9134
19,111281,192652.7104
19,111231,464015.377
19,111241,368485.7149
19,111251,449085.4756
19,111262,529426.9394
19,111261,746402.4575
19,111273,746261.2657
19,111274,487576.7923
20,111123,269549.1763
20,111121,223246.7667
20,111131,305089.0767
20,111142,332797.0275
20,111141,373474.5803
20,111152,327043.7673
20,111151,349388.539
20,111161,413631.1381
20,111291,288025.6029
20,111171,266050.598
20,111311,491004.449
20,111181,424069.291
20,111191,334936.1943
20,111201,483723.2082
20,111301,365399.7399
20,111212,515832.328
20,111221,376025.4907
20,111281,194246.0236
20,111231,450657.5241
20,111241,377887.0873
20,111251,457680.6278
20,111262,517160.088
20,111261,724999.1775
20,111273,737567.8121
20,111274,496364.011
21,111123,247280.0481
21,111121,203207.0195
21,111131,279672.9101
21,111142,328830.3702
21,111141,372546.2903
21,111152,334031.9399
21,111151,354675.6725
21,111161,421809.5063
21,111291,293046.8664
21,111171,271433.4686
21,111311,496438.0778
21,111181,435831.0703
21,111191,336505.5982
21,111201,472218.8634
21,111301,370985.7144
21,111212,523881.5845
21,111221,381223.5449
21,111281,194937.1405
21,111231,438835.8176
21,111241,383531.9573
21,111251,468303.156
21,111262,504651.3119
21,111261,700790.773
21,111273,725465.3758
21,111274,505709.8953
22,111123,229200.8124
22,111121,185170.3198
22,111131,269436.0258
22,111142,324952.0356
22,111141,370848.6516
22,111152,337095.5259
22,111151,359224.0041
22,111161,428425.5466
22,111291,298537.7394
22,111171,275367.215
22,111311,502522.5277
22,111181,444372.3735
22,111191,337245.6236
22,111201,453083.7744
22,111301,374009.433
22,111212,528968.5876
22,111221,383303.6747
22,111281,196096.0001
22,111231,427838.0353
22,111241,387434.1437
22,111251,479362.3333
22,111262,486239.0462
22,111261,667697.0013
22,111273,716657.2125
22,111274,511015.5373
23,111123,214404.6113
23,111121,169752.9844
23,111131,258004.5866
23,111142,314202.1283
23,111141,365911.5458
23,111152,342126.5604
23,111151,364317.7442
23,111161,430115.4833
23,111291,303413.6175
23,111171,274675.5225
23,111311,513178.6679
23,111181,453285.3545
23,111191,340662.0202
23,111201,434921.4011
23,111301,374254.3979
23,111212,537154.0374
23,111221,380751.1549
23,111281,195500.8296
23,111231,410957.2228
23,111241,389801.4519
23,111251,487079.9483
23,111262,466717.4157
23,111261,645960.8137
23,111273,713847.0768
23,111274,514532.601
