자치구코드,"성별(남자0,여자1)",연령코드,인원수
111123,0,AGE_000,3448
111123,0,AGE_001,3214
111123,0,AGE_002,7172
111123,0,AGE_003,7638
111123,0,AGE_004,8995
111123,0,AGE_005,9702
111123,0,AGE_006,10659
111123,0,AGE_007,13993
111123,1,AGE_000,3379
111123,1,AGE_001,3214
111123,1,AGE_002,8210
111123,1,AGE_003,8429
111123,1,AGE_004,9507
111123,1,AGE_005,9863
111123,1,AGE_006,10837
111123,1,AGE_007,17639
111121,0,AGE_000,3222
111121,0,AGE_001,2014
111121,0,AGE_002,5143
111121,0,AGE_003,7597
111121,0,AGE_004,8164
111121,0,AGE_005,8293
111121,0,AGE_006,9387
111121,0,AGE_007,11650
111121,1,AGE_000,3151
111121,1,AGE_001,2014
111121,1,AGE_002,6115
111121,1,AGE_003,8168
111121,1,AGE_004,7937
111121,1,AGE_005,8429
111121,1,AGE_006,9487
111121,1,AGE_007,15442
111131,0,AGE_000,6236
111131,0,AGE_001,4486
111131,0,AGE_002,8923
111131,0,AGE_003,13905
111131,0,AGE_004,15140
111131,0,AGE_005,14479
111131,0,AGE_006,15174
111131,0,AGE_007,18349
111131,1,AGE_000,5724
111131,1,AGE_001,4124
111131,1,AGE_002,10792
111131,1,AGE_003,14861
111131,1,AGE_004,15048
111131,1,AGE_005,14835
111131,1,AGE_006,15698
111131,1,AGE_007,23868
111142,0,AGE_000,9864
111142,0,AGE_001,6375
111142,0,AGE_002,13782
111142,0,AGE_003,19032
111142,0,AGE_004,21550
111142,0,AGE_005,21007
111142,0,AGE_006,21725
111142,0,AGE_007,25948
111142,1,AGE_000,9532
111142,1,AGE_001,6494
111142,1,AGE_002,15465
111142,1,AGE_003,20950
111142,1,AGE_004,21626
111142,1,AGE_005,21957
111142,1,AGE_006,23019
111142,1,AGE_007,33927
111141,0,AGE_000,9596
111141,0,AGE_001,7816
111141,0,AGE_002,16713
111141,0,AGE_003,21522
111141,0,AGE_004,23280
111141,0,AGE_005,21895
111141,0,AGE_006,22603
111141,0,AGE_007,29197
111141,1,AGE_000,8926
111141,1,AGE_001,7379
111141,1,AGE_002,20455
111141,1,AGE_003,23603
111141,1,AGE_004,23846
111141,1,AGE_005,23228
111141,1,AGE_006,24517
111141,1,AGE_007,36601
111152,0,AGE_000,9465
111152,0,AGE_001,6925
111152,0,AGE_002,16503
111152,0,AGE_003,19598
111152,0,AGE_004,22641
111152,0,AGE_005,22144
111152,0,AGE_006,24514
111152,0,AGE_007,32344
111152,1,AGE_000,8805
111152,1,AGE_001,6734
111152,1,AGE_002,18369
111152,1,AGE_003,19895
111152,1,AGE_004,21220
111152,1,AGE_005,21904
111152,1,AGE_006,25145
111152,1,AGE_007,40034
111151,0,AGE_000,10103
111151,0,AGE_001,7414
111151,0,AGE_002,14362
111151,0,AGE_003,21573
111151,0,AGE_004,25240
111151,0,AGE_005,26695
111151,0,AGE_006,30656
111151,0,AGE_007,39855
111151,1,AGE_000,9552
111151,1,AGE_001,7041
111151,1,AGE_002,15600
111151,1,AGE_003,21659
111151,1,AGE_004,23479
111151,1,AGE_005,26687
111151,1,AGE_006,32051
111151,1,AGE_007,49865
111161,0,AGE_000,12209
111161,0,AGE_001,9617
111161,0,AGE_002,18525
111161,0,AGE_003,21499
111161,0,AGE_004,26335
111161,0,AGE_005,25495
111161,0,AGE_006,27114
111161,0,AGE_007,34619
111161,1,AGE_000,11459
111161,1,AGE_001,9327
111161,1,AGE_002,22056
111161,1,AGE_003,23291
111161,1,AGE_004,26835
111161,1,AGE_005,26912
111161,1,AGE_006,29785
111161,1,AGE_007,46731
111291,0,AGE_000,6827
111291,0,AGE_001,5383
111291,0,AGE_002,10663
111291,0,AGE_003,14897
111291,0,AGE_004,18082
111291,0,AGE_005,19448
111291,0,AGE_006,23515
111291,0,AGE_007,32386
111291,1,AGE_000,6497
111291,1,AGE_001,5152
111291,1,AGE_002,12574
111291,1,AGE_003,14699
111291,1,AGE_004,16618
111291,1,AGE_005,19653
111291,1,AGE_006,25549
111291,1,AGE_007,42844
111171,0,AGE_000,8171
111171,0,AGE_001,6513
111171,0,AGE_002,11046
111171,0,AGE_003,14924
111171,0,AGE_004,19140
111171,0,AGE_005,20552
111171,0,AGE_006,25091
111171,0,AGE_007,36905
111171,1,AGE_000,7614
111171,1,AGE_001,6158
111171,1,AGE_002,11761
111171,1,AGE_003,15364
111171,1,AGE_004,18478
111171,1,AGE_005,21390
111171,1,AGE_006,27265
111171,1,AGE_007,47141
111311,0,AGE_000,13921
111311,0,AGE_001,13771
111311,0,AGE_002,20676
111311,0,AGE_003,23668
111311,0,AGE_004,31672
111311,0,AGE_005,31010
111311,0,AGE_006,33668
111311,0,AGE_007,47151
111311,1,AGE_000,13082
111311,1,AGE_001,12621
111311,1,AGE_002,21197
111311,1,AGE_003,25033
111311,1,AGE_004,32346
111311,1,AGE_005,32390
111311,1,AGE_006,38853
111311,1,AGE_007,63963
111181,0,AGE_000,13392
111181,0,AGE_001,10809
111181,0,AGE_002,17799
111181,0,AGE_003,25002
111181,0,AGE_004,31034
111181,0,AGE_005,31098
111181,0,AGE_006,34313
111181,0,AGE_007,45079
111181,1,AGE_000,12826
111181,1,AGE_001,10322
111181,1,AGE_002,19980
111181,1,AGE_003,27370
111181,1,AGE_004,31982
111181,1,AGE_005,33911
111181,1,AGE_006,39030
111181,1,AGE_007,59688
111191,0,AGE_000,9354
111191,0,AGE_001,7447
111191,0,AGE_002,14459
111191,0,AGE_003,16692
111191,0,AGE_004,20171
111191,0,AGE_005,19978
111191,0,AGE_006,21133
111191,0,AGE_007,27564
111191,1,AGE_000,8659
111191,1,AGE_001,7466
111191,1,AGE_002,18116
111191,1,AGE_003,18797
111191,1,AGE_004,21253
111191,1,AGE_005,21667
111191,1,AGE_006,23427
111191,1,AGE_007,37278
111201,0,AGE_000,12294
111201,0,AGE_001,8590
111201,0,AGE_002,16690
111201,0,AGE_003,23629
