호선,고유역번호(외부역코드),연월,하차인원수,자치구코드,호선역
1,150,202201,1050145,111121,서울역(1)
1,151,202201,508237,111121,시청(1)
1,152,202201,796150,111123,종각(1)
1,153,202201,601965,111123,종로3가(1)
1,154,202201,552920,111123,종로5가(1)
1,155,202201,281274,111123,동대문(1)
1,156,202201,338965,111152,신설동(1)
1,157,202201,492913,111152,제기동(1)
1,158,202201,544757,111152,청량리(1)
1,159,202201,255518,111123,동묘앞(1)
2,201,202201,504488,111121,시청(2)
2,202,202201,952048,111121,을지로입구(2)
2,203,202201,524327,111121,을지로3가(2)
2,204,202201,303297,111121,을지로4가(2)
2,205,202201,356653,111121,동대문역사문화공원(2)
2,206,202201,371778,111121,신당(2)
2,207,202201,350972,111142,상왕십리(2)
2,208,202201,346966,111142,왕십리(2)
2,209,202201,170492,111142,한양대(2)
2,210,202201,576861,111142,뚝섬(2)
2,211,202201,984953,111142,성수(2)
2,212,202201,1016924,111141,건대입구(2)
2,213,202201,595740,111141,구의(2)
2,214,202201,783866,111141,강변(2)
2,215,202201,337170,111273,잠실나루(2)
2,216,202201,1818865,111273,잠실(2)
2,217,202201,550080,111273,잠실새내(2)
2,218,202201,207320,111273,종합운동장(2)
2,219,202201,1273126,111261,삼성(2)
2,220,202201,1163713,111261,선릉(2)
2,221,202201,1352638,111261,역삼(2)
2,222,202201,2149571,111261,강남(2)
2,223,202201,902146,111262,교대(2)
2,224,202201,502350,111262,서초(2)
2,225,202201,416331,111262,방배(2)
2,226,202201,1032181,111241,사당(2)
2,227,202201,677609,111251,낙성대(2)
2,228,202201,1205414,111251,서울대입구(2)
2,229,202201,568513,111251,봉천(2)
2,230,202201,1609570,111251,신림(2)
2,231,202201,664763,111241,신대방(2)
2,232,202201,1457395,111221,구로디지털단지(2)
2,233,202201,638186,111221,대림(2)
2,234,202201,1215029,111221,신도림(2)
2,235,202201,527164,111231,문래(2)
2,236,202201,572004,111231,영등포구청(2)
2,237,202201,517697,111231,당산(2)
2,238,202201,859535,111201,합정(2)
2,239,202201,1589013,111201,홍대입구(2)
2,240,202201,870854,111201,신촌(2)
2,241,202201,338601,111201,이대(2)
2,242,202201,245880,111201,아현(2)
2,243,202201,250860,111191,충정로(2)
2,244,202201,74682,111142,용답(2)
2,245,202201,48257,111142,신답(2)
2,246,202201,101233,111152,신설동(2)
2,247,202201,36168,111221,도림천(2)
2,248,202201,182442,111301,양천구청(2)
2,249,202201,272239,111301,신정네거리(2)
2,250,202201,65638,111152,용두(2)
3,310,202201,503574,111181,구파발(3)
3,311,202201,899611,111181,연신내(3)
3,312,202201,451915,111181,불광(3)
3,313,202201,352932,111181,녹번(3)
3,314,202201,417966,111191,홍제(3)
3,315,202201,101530,111191,무악재(3)
3,316,202201,179555,111191,독립문(3)
3,317,202201,487013,111123,경복궁(3)
3,318,202201,514732,111123,안국(3)
3,319,202201,289868,111123,종로3가(3)
3,320,202201,253470,111121,을지로3가(3)
3,322,202201,202457,111121,동대입구(3)
3,323,202201,315200,111121,약수(3)
3,324,202201,196360,111142,금호(3)
3,325,202201,242273,111142,옥수(3)
3,326,202201,887756,111261,압구정(3)
3,327,202201,850248,111261,신사(3)
3,328,202201,117831,111262,잠원(3)
3,329,202201,1181815,111262,고속터미널(3)
3,330,202201,215988,111262,교대(3)
3,331,202201,756252,111262,남부터미널(3)
3,332,202201,1009461,111262,양재(3)
3,333,202201,290192,111261,매봉(3)
3,334,202201,133829,111261,도곡(3)
3,335,202201,298642,111261,대치(3)
3,336,202201,48960,111261,학여울(3)
3,337,202201,231441,111261,대청(3)
3,338,202201,235542,111261,일원(3)
3,339,202201,455512,111261,수서(3)
3,340,202201,224663,111273,가락시장(3)
3,341,202201,182696,111273,경찰병원(3)
3,342,202201,139179,111273,오금(3)
4,409,202201,306225,111311,당고개(4)
4,410,202201,455333,111311,상계(4)
4,411,202201,552401,111311,노원(4)
4,412,202201,705283,111171,창동(4)
4,413,202201,689609,111171,쌍문(4)
4,414,202201,872885,111291,수유(4)
4,415,202201,361243,111291,미아(4)
4,416,202201,688805,111291,미아사거리(4)
4,417,202201,498395,111161,길음(4)
4,418,202201,501104,111161,성신여대입구(4)
4,419,202201,324955,111161,한성대입구(4)
4,420,202201,853710,111123,혜화(4)
4,421,202201,467288,111123,동대문(4)
4,422,202201,347051,111121,동대문역사문화공원(4)
4,423,202201,616151,111121,충무로(4)
4,424,202201,485661,111121,명동(4)
4,425,202201,620848,111121,회현(4)
4,426,202201,418726,111131,서울역(4)
4,427,202201,309018,111131,숙대입구(4)
4,428,202201,140896,111131,삼각지(4)
4,429,202201,434689,111131,신용산(4)
4,430,202201,216938,111131,이촌(4)
4,431,202201,56311,111241,동작(4)
4,432,202201,525128,111241,이수(4)
4,433,202201,543708,111241,사당(4)
4,434,202201,26136,111262,남태령(4)
5,2511,202201,164770,111212,방화(5)
5,2512,202201,136797,111212,개화산(5)
5,2513,202201,213699,111212,김포공항(5)
5,2514,202201,160854,111212,송정(5)
5,2515,202201,259550,111212,마곡(5)
5,2516,202201,515061,111212,발산(5)
5,2517,202201,359430,111212,우장산(5)
5,2518,202201,676917,111212,화곡(5)
5,2519,202201,718858,111212,까치산(5)
5,2520,202201,288096,111301,신정(5)
5,2521,202201,453101,111301,목동(5)
5,2522,202201,597351,111301,오목교(5)
5,2523,202201,185417,111231,양평(5)
5,2524,202201,102469,111231,영등포구청(5)
5,2525,202201,269277,111231,영등포시장(5)
5,2526,202201,112251,111231,신길(5)
5,2527,202201,700945,111231,여의도(5)
5,2528,202201,252209,111231,여의나루(5)
5,2529,202201,356675,111201,마포(5)
5,2530,202201,349980,111201,공덕(5)
5,2531,202201,166152,111201,애오개(5)
5,2532,202201,112256,111191,충정로(5)
5,2533,202201,442101,111123,서대문(5)
5,2534,202201,727329,111123,광화문(5)
5,2535,202201,329627,111123,종로3가(5)
5,2536,202201,148631,111121,을지로4가(5)
5,2537,202201,81909,111121,동대문역사문화공원(5)
5,2538,202201,91799,111121,청구(5)
5,2539,202201,164434,111142,신금호(5)
5,2540,202201,185146,111142,행당(5)
5,2541,202201,137199,111142,왕십리(5)
5,2542,202201,142024,111142,마장(5)
5,2543,202201,389303,111142,답십리(5)
5,2544,202201,465681,111152,장한평(5)
5,2545,202201,319219,111141,군자(5)
5,2546,202201,373954,111141,아차산(5)
5,2547,202201,309642,111141,광나루(5)
5,2548,202201,479514,111274,천호(5)
5,2549,202201,453658,111274,강동(5)
5,2550,202201,220002,111274,길동(5)
5,2551,202201,236168,111274,굽은다리(5)
5,2552,202201,228358,111274,명일(5)
5,2553,202201,236401,111274,고덕(5)
5,2554,202201,358965,111274,상일동(5)
5,2555,202201,223167,111274,둔촌동(5)
5,2556,202201,92674,111273,올림픽공원(5)
5,2557,202201,190890,111273,방이(5)
5,2558,202201,90348,111273,오금(5)
5,2559,202201,168210,111273,개롱(5)
5,2560,202201,220320,111273,거여(5)
5,2561,202201,175071,111273,마천(5)
5,2562,202201,97714,111274,강일(5)
6,2611,202201,449325,111181,응암(6)
6,2612,202201,114780,111181,역촌(6)
6,2613,202201,109201,111181,불광(6)
6,2614,202201,75841,111181,독바위(6)
6,2616,202201,146016,111181,구산(6)
6,2617,202201,301603,111181,새절(6)
6,2618,202201,259603,111181,증산(6)
6,2619,202201,363111,111181,디지털미디어시티(6)
6,2620,202201,110714,111201,월드컵경기장(6)
6,2621,202201,330193,111201,마포구청(6)
6,2622,202201,415890,111201,망원(6)
6,2623,202201,336297,111201,합정(6)
6,2624,202201,253595,111201,상수(6)
6,2625,202201,216780,111201,광흥창(6)
6,2626,202201,203063,111201,대흥(6)
6,2627,202201,425653,111201,공덕(6)
6,2628,202201,157622,111131,효창공원앞(6)
6,2629,202201,141142,111131,삼각지(6)
6,2630,202201,126877,111131,녹사평(6)
6,2631,202201,279597,111131,이태원(6)
6,2632,202201,274220,111131,한강진(6)
6,2633,202201,53540,111121,버티고개(6)
6,2634,202201,90573,111121,약수(6)
6,2635,202201,97280,111121,청구(6)
6,2636,202201,214462,111121,신당(6)
6,2637,202201,211482,111123,동묘앞(6)
6,2638,202201,71440,111123,창신(6)
6,2639,202201,169333,111161,보문(6)
6,2640,202201,240127,111161,안암(6)
6,2641,202201,185201,111161,고려대(6)
6,2642,202201,285837,111161,월곡(6)
6,2643,202201,140368,111161,상월곡(6)
6,2644,202201,222534,111161,돌곶이(6)
6,2645,202201,319028,111311,석계(6)
6,2646,202201,151593,111311,태릉입구(6)
6,2647,202201,228347,111311,화랑대(6)
6,2648,202201,213604,111151,봉화산(6)
7,2712,202201,272831,111171,도봉산(7)
7,2713,202201,323034,111311,수락산(7)
7,2714,202201,312041,111311,마들(7)
7,2715,202201,531219,111311,노원(7)
7,2716,202201,321010,111311,중계(7)
7,2717,202201,418172,111311,하계(7)
7,2718,202201,296534,111311,공릉(7)
7,2719,202201,204138,111311,태릉입구(7)
7,2720,202201,258366,111151,먹골(7)
7,2721,202201,270544,111151,중화(7)
7,2722,202201,415846,111151,상봉(7)
7,2723,202201,385088,111151,면목(7)
7,2724,202201,412663,111151,사가정(7)
7,2725,202201,154214,111151,용마산(7)
7,2726,202201,258588,111141,중곡(7)
7,2727,202201,309574,111141,군자(7)
7,2728,202201,309880,111141,어린이대공원(7)
7,2729,202201,341520,111141,건대입구(7)
7,2730,202201,186658,111141,뚝섬유원지(7)
7,2731,202201,516752,111261,청담(7)
7,2732,202201,437211,111261,강남구청(7)
7,2733,202201,605100,111261,학동(7)
7,2734,202201,536648,111261,논현(7)
7,2735,202201,141710,111262,반포(7)
7,2736,202201,351333,111262,고속터미널(7)
7,2737,202201,363854,111262,내방(7)
7,2738,202201,393371,111241,이수(7)
7,2739,202201,261691,111241,남성(7)
7,2740,202201,298333,111241,숭실대입구(7)
7,2741,202201,261811,111241,상도(7)
7,2742,202201,228831,111241,장승배기(7)
7,2743,202201,405160,111241,신대방삼거리(7)
7,2744,202201,240301,111241,보라매(7)
7,2745,202201,284990,111231,신풍(7)
7,2746,202201,226286,111231,대림(7)
7,2747,202201,411168,111221,남구로(7)
7,2748,202201,1047650,111281,가산디지털단지(7)
7,2751,202201,270701,111221,천왕(7)
7,2752,202201,231840,111221,온수(7)
8,2811,202201,433625,111274,암사(8)
8,2812,202201,453026,111274,천호(8)
8,2813,202201,274227,111274,강동구청(8)
8,2814,202201,158033,111273,몽촌토성(8)
8,2815,202201,454381,111273,잠실(8)
8,2816,202201,237439,111273,석촌(8)
8,2817,202201,192614,111273,송파(8)
8,2818,202201,222530,111273,가락시장(8)
8,2819,202201,544591,111273,문정(8)
8,2820,202201,428675,111273,장지(8)
8,2821,202201,202364,111273,복정(8)
9,4126,202201,45872,111261,언주(9)
9,4127,202201,40652,111261,선정릉(9)
9,4128,202201,30963,111261,삼성중앙(9)
9,4129,202201,74610,111261,봉은사(9)
9,4130,202201,16683,111273,종합운동장(9)
