기준일ID,시간대구분,자치구코드,총생활인구수,남자0세부터9세생활인구수,남자10세부터14세생활인구수,남자15세부터19세생활인구수,남자20세부터24세생활인구수,남자25세부터29세생활인구수,남자30세부터34세생활인구수,남자35세부터39세생활인구수,남자40세부터44세생활인구수,남자45세부터49세생활인구수,남자50세부터54세생활인구수,남자55세부터59세생활인구수,남자60세부터64세생활인구수,남자65세부터69세생활인구수,남자70세이상생활인구수,여자0세부터9세생활인구수,여자10세부터14세생활인구수,여자15세부터19세생활인구수,여자20세부터24세생활인구수,여자25세부터29세생활인구수,여자30세부터34세생활인구수,여자35세부터39세생활인구수,여자40세부터44세생활인구수,여자45세부터49세생활인구수,여자50세부터54세생활인구수,여자55세부터59세생활인구수,여자60세부터64세생활인구수,여자65세부터69세생활인구수,여자70세이상생활인구수
20221119,0,11110,212008.0057,4797.1004,2863.5668,5364.0068,9239.1499,9764.5654,7885.7369,8386.8108,7740.7101,8897.3699,8650.1145,8349.3164,6110.9216,4655.1412,9018.3159,4789.7778,2867.368,5792.7296,12550.4663,9816.8771,7427.2613,7976.2421,7539.2522,8976.1674,7902.8722,8359.6284,6648.8472,5216.2096,14421.4785
20221119,0,11140,168265.2592,4337.0126,1737.4258,2807.517,6083.7803,7483.926,7351.9579,9408.1423,7935.0656,8044.273,6926.5241,6392.8663,4813.0295,3481.3828,6604.0054,3928.5288,1701.7177,3329.256,8419.7213,8251.3806,7785.8646,8353.8399,6657.7984,6522.6416,5531.6858,5722.1347,4998.4834,3595.0494,10060.2486
20221119,0,11170,255089.0757,7452.9905,3659.0174,5146.8245,7879.4104,10014.2376,11611.7599,13708.5099,11556.552,11351.9224,9788.8364,8581.1225,6715.2459,4990.521,9250.9385,7180.9448,3470.6183,5559.4666,9492.5924,12025.1525,12456.4647,14165.1421,10597.1608,11087.4127,9239.2527,8977.1959,7599.882,5842.4595,15687.4381
20221119,0,11200,316715.469,10909.8471,4489.8423,6874.3693,11631.5098,13427.5996,12005.7671,15443.3457,13428.6475,13283.7905,10723.0902,11371.4039,8949.2685,6159.9263,11631.9157,10462.4581,4566.8691,7426.4941,14411.9881,13895.0036,13252.5883,16934.6315,12645.5928,12684.068,11401.6344,11777.3419,9996.6621,7581.7647,19348.0503
20221119,0,11215,363082.1842,10674.5071,5713.6815,9650.254,15803.2871,17815.5376,14813.0138,15401.4699,12994.4394,14083.4094,12347.3805,12438.4691,9327.2021,6566.1525,12677.3752,10542.8518,5864.3937,9926.8905,20622.1104,19986.9546,15733.5147,16037.8435,13598.6523,14365.9876,12902.3431,14008.436,11373.2096,8485.4691,19327.3448
20221119,0,11230,348026.6685,10179.6541,5043.1842,8265.1846,16702.4129,15799.7575,11726.9487,14329.4027,12822.6087,13615.795,11862.0759,11918.2355,9515.1565,7130.8342,15255.6462,9951.3505,4908.3216,9657.1171,25362.797,16351.5653,12346.887,14062.7801,11962.05,12340.6974,11344.9699,11964.4996,10628.7741,8915.7405,24062.2239
20221119,0,11260,368538.3856,12603.381,6080.6737,7988.1919,9773.4774,13179.1395,13679.9508,15838.9405,13951.8093,14704.5225,13399.9796,15076.2205,11949.7345,8734.7763,17735.8557,11843.5521,5665.3754,7668.8264,11822.5429,14867.1853,14159.0713,15959.5373,13169.8311,14337.9818,14497.9133,17004.0239,14528.0486,10861.5716,27456.2681
20221119,0,11290,434512.787,16701.4578,9355.8144,13122.8272,17554.9532,16113.3453,12983.4666,16007.0154,14950.7844,17121.5121,15844.7519,14140.0596,11171.4564,8515.4289,17876.6203,14811.3243,8137.8743,13973.2335,24259.5241,16724.3984,14009.1667,17330.3117,16258.015,19104.3931,16673.5103,16470.6297,13636.8569,11041.626,30622.4281
20221119,0,11305,303106.1921,9445.6318,5165.7148,7356.2125,9451.3059,11383.5295,9136.0198,11161.6938,10587.9895,12349.6055,11497.3372,11730.8317,9306.3434,7128.7267,16688.5444,8561.9354,4688.4685,7282.4143,12440.6675,11308.5999,9330.5167,10564.9393,10273.0713,12412.4579,12135.6594,13075.8949,11886.1933,9391.8152,27364.0637
20221119,0,11320,278666.0012,9937.3602,5543.6259,7223.0741,7171.3626,8623.1751,8019.4329,10146.593,9765.2507,11131.7191,9974.219,10732.3721,9442.7892,7286.6046,15496.8481,8914.9532,4992.4045,6665.4661,8628.1446,9242.6311,8795.9056,10572.9011,9461.6073,11272.0923,11609.2199,12980.1984,11968.4479,9125.9759,23941.6276
20221119,0,11350,514277.0493,18293.5775,12120.9702,18988.2423,18521.471,15918.0777,14073.5787,17061.5828,17135.6751,21422.2872,18683.0749,18427.4187,14702.8219,11548.1318,23264.155,17713.4056,11471.2179,16920.3435,19538.7026,15853.6937,15835.9368,18466.2042,19138.0942,23580.5406,21417.7825,22042.1141,18682.6279,14572.9876,38882.3331
20221119,0,11380,455469.3272,16073.2505,8910.9674,12322.2251,11714.447,14539.2322,15193.4493,18308.1336,17387.5795,19195.6071,16326.9633,15413.0623,13345.9277,9381.0161,20105.8688,15098.051,8259.5475,11363.6726,15005.5001,17669.1572,17615.9343,20490.9144,18534.7055,20178.8607,18392.7355,19717.1359,16733.804,12660.9359,35530.6446
