"객체id","현황도형 관리번호","도형 대분류코드","도형 중분류코드","도형 소분류코드","도형 속성코드","도형 조서관리 코드","결정고시관리코드","라벨명","시군구코드","도면번호","현황도형 생성일시","면적(도형)","길이(도형)"
"166362","11000UQ111PS201912154282","UQA100","UQA130"," ","UQA130","11000ARZ201005074979","11000NTC201004274829","준주거지역","11000"," ","2020-07-17 00:00:00.0","43487.27232218","1763.10202290"
"166363","11000UQ111PS202007196869","UQA100","UQA110","UQA111","UQA111","11000ARZ000000001111"," ","제1종전용주거지역","11000"," ","2020-07-19 00:00:00.0","55757.96020362","2968.33925261"
"166364","11000UQ111PS201912153614","UQA100","UQA120","UQA122","UQA122","11000ARZ000000001111"," ","제2종일반주거지역","11000"," ","2019-12-15 00:00:00.0","99520.41119906","3029.21710265"
"166365","11000UQ111PS201912156340","UQA400","UQA430"," ","UQA430","11000ARZ000000001111"," ","자연녹지지역","11000"," ","2019-12-15 00:00:00.0","13532.11876362","468.53682722"
"166366","11000UQ111PS201912156232","UQA300","UQA330"," ","UQA330","11000ARZ000000001111"," ","준공업지역","11000"," ","2019-12-15 00:00:00.0","2038220.67351353","6586.61624450"
"166367","11000UQ111PS201912156202","UQA300","UQA330"," ","UQA330","11000ARZ201706015666","11000NTC201612017952","중공업지역","11000"," ","2019-12-15 00:00:00.0","272457.70683000","2946.71558552"
"166368","11000UQ111PS201912156230","UQA300","UQA330"," ","UQA330","11000ARZ201003265628","11000NTC201002114512","준공업지역","11000"," ","2019-12-15 00:00:00.0","3906.69405566","489.61199442"
"166401","11000UQ111PS201912156116","UQA200","UQA220"," ","UQA220","11000ARZ200911175330","11000NTC200805291982","일반상업지역","11000"," ","2019-12-15 00:00:00.0","22369.65420661","1153.96619915"
"166402","11000UQ111PS201912156118","UQA200","UQA220"," ","UQA220","11000ARZ000000001111"," ","일반상업지역","11000"," ","2019-12-15 00:00:00.0","6521.01028787","947.18048573"
"166403","11000UQ111PS201912156119","UQA200","UQA220"," ","UQA220","11000ARZ201203205421","11000NTC201203156440","일반상업지역","11000"," ","2019-12-15 00:00:00.0","5879.61522550","297.89436148"
"166404","11000UQ111PS201912156120","UQA200","UQA220"," ","UQA220","11000ARZ201704065500","11000NTC201704068074","일반상업지역","11000"," ","2019-12-15 00:00:00.0","3279.48745088","231.12999344"
"166405","11000UQ111PS201912156045","UQA200","UQA220"," ","UQA220","11000ARZ000000001111"," ","일반상업지역","11000"," ","2019-12-15 00:00:00.0","2252.73760607","391.00228963"
"166406","11000UQ111PS201912155799","UQA200","UQA220"," ","UQA220","11000ARZ199606030215","11000NTC199606036077","일반상업지역","11000"," ","2019-12-15 00:00:00.0","63837.65854318","2586.20838925"
"166407","11000UQ111PS201912156183","UQA200","UQA220"," ","UQA220","11000ARZ200011040419","11000NTC200011049975","일반상업지역","11000"," ","2019-12-15 00:00:00.0","20713.77812357","713.35272054"
"166408","11000UQ111PS201912156184","UQA200","UQA220"," ","UQA220","11000ARZ201908200004","11000NTC201908011026","일반상업지역","11000"," ","2019-12-15 00:00:00.0","5805.10326106","319.93544696"
"166409","11000UQ111PS201912156188","UQA200","UQA220"," ","UQA220","11000ARZ201910040126","11000NTC201909261132","일반상업지역","11000"," ","2019-12-15 00:00:00.0","1613.43539145","168.84955886"
"166410","11000UQ111PS201912156023","UQA200","UQA220"," ","UQA220","11000ARZ000000001111"," ","일반상업지역","11000"," ","2019-12-15 00:00:00.0","9604.86326453","1567.21546408"
"166411","11000UQ111PS201912155970","UQA200","UQA220"," ","UQA220","11000ARZ000000001111"," ","일반상업지역","11000"," ","2019-12-15 00:00:00.0","202.69502728","61.14765370"
"166412","11000UQ111PS201912155971","UQA200","UQA220"," ","UQA220","11000ARZ000000001111"," ","일반상업지역","11000"," ","2019-12-15 00:00:00.0","897.35065385","165.38907252"
"166413","11000UQ111PS201912155972","UQA200","UQA220"," ","UQA220","11000ARZ000000001111"," ","일반상업지역","11000"," ","2019-12-15 00:00:00.0","1214.40862612","145.58546777"
"166414","11000UQ111PS201912155973","UQA200","UQA220"," ","UQA220","11000ARZ000000001111"," ","일반상업지역","11000"," ","2019-12-15 00:00:00.0","1131.53892880","211.09854978"
"166415","11000UQ111PS201912155999","UQA200","UQA220"," ","UQA220","11000ARZ000000001111"," ","일반상업지역","11000"," ","2019-12-15 00:00:00.0","153910.45889997","3108.87101483"
"166416","11000UQ111PS201912155821","UQA200","UQA220"," ","UQA220","11000ARZ201805165559","11000NTC201802228383","일반상업지역","11000"," ","2019-12-15 00:00:00.0","1515.46024477","358.91432094"
