연월,일,강수량(mm)
202107,1,0
202107,2,0
202107,3,60
202107,4,21.4
202107,5,0
202107,6,0
202107,7,12.7
202107,8,2.9
202107,9,0
202107,10,0.5
202107,11,0.4
202107,12,0
202107,13,0
202107,14,0
202107,15,0
202107,16,0
202107,17,0
202107,18,0
202107,19,67.4
202107,20,0
202107,21,0
202107,22,0
202107,23,0
202107,24,0
202107,25,0
202107,26,0
202107,27,0
202107,28,0
202107,29,0
202107,30,0
202107,31,3
202108,1,21
202108,2,1.7
202108,3,0
202108,4,0
202108,5,0
202108,6,0
202108,7,0
202108,8,12.7
202108,9,0
202108,10,0
202108,11,0
202108,12,0
202108,13,0
202108,14,0
202108,15,0
202108,16,0
202108,17,9.3
202108,18,5.6
202108,19,0
202108,20,0
202108,21,62.8
202108,22,0
202108,23,7.4
202108,24,10.5
202108,25,0.3
202108,26,0.7
202108,27,0.9
202108,28,0
202108,29,0.9
202108,30,0
202108,31,77.4
202109,1,0.8
202109,2,0
202109,3,0
202109,4,0
202109,5,0
202109,6,12
202109,7,29.6
202109,8,1.6
202109,9,0
202109,10,0
202109,11,0
202109,12,0
202109,13,0
202109,14,0
202109,15,0
202109,16,0
202109,17,0
202109,18,0
202109,19,0
202109,20,0
202109,21,68.1
202109,22,4.5
202109,23,0
202109,24,0
202109,25,0
202109,26,0
202109,27,0
202109,28,1.3
202109,29,13.1
202109,30,0
202110,1,13.3
202110,2,0
202110,3,0
202110,4,3.6
202110,5,0
202110,6,6.4
202110,7,4.6
202110,8,3.5
202110,9,0.4
202110,10,14.2
202110,11,0.3
202110,12,0
202110,13,0
202110,14,0
202110,15,0
202110,16,0
202110,17,0
202110,18,5.6
202110,19,4.4
202110,20,0
202110,21,0
202110,22,0
202110,23,0
202110,24,0
202110,25,0
202110,26,0
202110,27,0
202110,28,0
202110,29,0
202110,30,0
202110,31,0.7
202111,1,0
202111,2,0
202111,3,0
202111,4,0
202111,5,0
202111,6,0
202111,7,0
202111,8,25.7
202111,9,2
202111,10,0.3
202111,11,0
202111,12,0
202111,13,0
202111,14,0
202111,15,0
202111,16,0
202111,17,0
202111,18,0
202111,19,0
202111,20,0
202111,21,5.9
202111,22,1.3
202111,23,0
202111,24,0
202111,25,0
202111,26,0
202111,27,0
202111,28,0
202111,29,0
202111,30,27.2
202112,1,0
202112,2,0.1
202112,3,0.4
202112,4,0
202112,5,0
202112,6,0
202112,7,0
202112,8,0
202112,9,0
202112,10,0.7
202112,11,0
202112,12,0
202112,13,0
202112,14,1.2
202112,15,2.1
202112,16,0
202112,17,0
202112,18,2.8
202112,19,0.2
202112,20,0
202112,21,0
202112,22,0
202112,23,0
202112,24,0.2
202112,25,0
202112,26,0
202112,27,0
202112,28,0
202112,29,0.2
202112,30,0
202112,31,0
202201,1,0
202201,2,0.3
202201,3,0
202201,4,0
202201,5,0
202201,6,0
202201,7,0
202201,8,0
202201,9,0
202201,10,0.9
202201,11,0.2
202201,12,0
202201,13,0
202201,14,0
202201,15,0
202201,16,0
202201,17,0.5
202201,18,0
202201,19,1.7
202201,20,0
202201,21,0
202201,22,0
202201,23,0
202201,24,0
202201,25,0.7
202201,26,0
202201,27,0
202201,28,0
202201,29,0
202201,30,0
202201,31,1.2
202202,1,1.7
202202,2,0
202202,3,0
202202,4,0
202202,5,0
202202,6,0
202202,7,0
202202,8,0
202202,9,0
202202,10,0
202202,11,0
202202,12,0
202202,13,0
202202,14,1.7
202202,15,0
202202,16,0
202202,17,0
202202,18,0
202202,19,0.1
202202,20,0
202202,21,0.1
202202,22,0
202202,23,0
202202,24,0
202202,25,0
202202,26,1.1
202202,27,0
202202,28,0
202203,1,2.3
202203,2,0
202203,3,0
202203,4,0
202203,5,0
202203,6,0
202203,7,0
202203,8,0
202203,9,0
202203,10,0
202203,11,0
202203,12,2.6
202203,13,42.1
202203,14,8.7
202203,15,0
202203,16,0
202203,17,1.2
202203,18,0
202203,19,14.6
202203,20,0
202203,21,0
202203,22,0
202203,23,0
202203,24,0
202203,25,10.9
202203,26,19.8
202203,27,0
202203,28,0
202203,29,0
202203,30,0.4
202203,31,0
202204,1,0
202204,2,0
202204,3,0
202204,4,0
202204,5,0
202204,6,0
202204,7,0
202204,8,0
202204,9,0.5
202204,10,0
202204,11,0
202204,12,0.5
202204,13,1.3
202204,14,0
202204,15,0
202204,16,0
202204,17,0
202204,18,0
202204,19,0
202204,20,0
202204,21,0
202204,22,0
202204,23,0
202204,24,0.3
202204,25,1.3
202204,26,1
202204,27,0
202204,28,0
202204,29,15.5
202204,30,0
202205,1,0
202205,2,0
202205,3,0
202205,4,0
202205,5,0
202205,6,0
202205,7,0.5
202205,8,2
202205,9,0
202205,10,0
202205,11,0
202205,12,0
202205,13,0
202205,14,0
202205,15,0
202205,16,0
202205,17,0
202205,18,1.5
202205,19,0
202205,20,0
202205,21,0
202205,22,0
202205,23,0
202205,24,0
202205,25,3.5
202205,26,0
202205,27,0
202205,28,0
202205,29,0
202205,30,0
202205,31,0
202206,1,0
202206,2,0
202206,3,0
202206,4,0
202206,5,0
202206,6,4.3
202206,7,0
202206,8,0
202206,9,2.6
202206,10,1.2
202206,11,0
202206,12,0
202206,13,18
202206,14,0
202206,15,18.5
202206,16,0.7
202206,17,0
202206,18,0
202206,19,0
202206,20,0
202206,21,0
202206,22,0
202206,23,103
202206,24,19.1
202206,25,0
202206,26,0
202206,27,6.1
202206,28,6.3
202206,29,37.8
202206,30,176.2
