대여일자,대여소번호,성별,연령대코드,이용건수
21-Jul,3,F,AGE_002,1
21-Jul,3,M,AGE_003,1
21-Jul,3,,AGE_003,1
21-Jul,3,,AGE_005,1
21-Jul,3,M,AGE_002,12
21-Jul,3,M,AGE_005,3
21-Jul,3,M,AGE_008,5
21-Jul,5,M,AGE_004,4
21-Jul,5,,AGE_008,4
21-Jul,10,F,AGE_002,3
21-Jul,10,M,AGE_004,1
21-Jul,10,F,AGE_002,4
21-Jul,102,,AGE_002,1
21-Jul,102,,AGE_005,3
21-Jul,102,F,AGE_002,9
21-Jul,102,F,AGE_004,3
21-Jul,102,M,AGE_002,3
21-Jul,102,M,AGE_003,4
21-Jul,102,M,AGE_008,4
21-Jul,102,,AGE_001,3
21-Jul,102,,AGE_002,14
21-Jul,102,,AGE_003,1
21-Jul,102,,AGE_004,2
21-Jul,102,,AGE_005,1
21-Jul,102,,AGE_008,28
21-Jul,102,,AGE_001,22
21-Jul,102,,AGE_002,225
21-Jul,102,,AGE_003,53
21-Jul,102,,AGE_004,11
21-Jul,102,,AGE_005,6
21-Jul,102,,AGE_008,13
21-Jul,102,,AGE_002,23
21-Jul,102,,AGE_003,3
21-Jul,102,,AGE_004,1
21-Jul,102,F,AGE_001,19
21-Jul,102,F,AGE_002,124
21-Jul,102,F,AGE_003,50
21-Jul,102,F,AGE_004,18
21-Jul,102,F,AGE_005,3
21-Jul,102,F,AGE_008,44
21-Jul,102,M,AGE_001,13
21-Jul,102,M,AGE_002,97
21-Jul,102,M,AGE_003,56
21-Jul,102,M,AGE_004,16
21-Jul,102,M,AGE_005,7
21-Jul,102,M,AGE_006,1
21-Jul,102,M,AGE_008,28
21-Jul,102,,AGE_001,13
21-Jul,102,,AGE_002,578
21-Jul,102,,AGE_003,332
21-Jul,102,,AGE_004,124
21-Jul,102,,AGE_005,92
21-Jul,102,,AGE_006,20
21-Jul,102,,AGE_007,1
21-Jul,102,,AGE_008,18
21-Jul,102,,AGE_002,64
21-Jul,102,,AGE_003,36
21-Jul,102,,AGE_004,3
21-Jul,102,,AGE_005,2
21-Jul,102,F,AGE_001,3
21-Jul,102,F,AGE_002,349
21-Jul,102,F,AGE_003,347
21-Jul,102,F,AGE_004,61
21-Jul,102,F,AGE_005,88
21-Jul,102,F,AGE_006,5
21-Jul,102,F,AGE_007,7
21-Jul,102,F,AGE_008,91
21-Jul,102,M,AGE_001,32
21-Jul,102,M,AGE_002,320
21-Jul,102,M,AGE_003,289
21-Jul,102,M,AGE_004,148
21-Jul,102,M,AGE_005,60
21-Jul,102,M,AGE_006,21
21-Jul,102,M,AGE_007,2
21-Jul,102,M,AGE_008,117
21-Jul,103,,AGE_002,4
21-Jul,103,,AGE_003,2
21-Jul,103,,AGE_004,3
21-Jul,103,F,AGE_002,3
21-Jul,103,F,AGE_003,2
21-Jul,103,M,AGE_001,5
21-Jul,103,M,AGE_002,5
21-Jul,103,,AGE_001,1
21-Jul,103,,AGE_002,10
21-Jul,103,,AGE_003,2
21-Jul,103,,AGE_004,2
21-Jul,103,,AGE_008,18
21-Jul,103,,AGE_001,15
21-Jul,103,,AGE_002,168
21-Jul,103,,AGE_003,50
21-Jul,103,,AGE_004,11
21-Jul,103,,AGE_005,3
21-Jul,103,,AGE_006,1
21-Jul,103,,AGE_007,1
21-Jul,103,,AGE_008,4
21-Jul,103,,AGE_002,24
21-Jul,103,,AGE_003,3
21-Jul,103,F,AGE_001,4
21-Jul,103,F,AGE_002,115
21-Jul,103,F,AGE_003,45
21-Jul,103,F,AGE_004,6
21-Jul,103,F,AGE_005,4
21-Jul,103,F,AGE_008,29
21-Jul,103,M,AGE_001,13
21-Jul,103,M,AGE_002,92
21-Jul,103,M,AGE_003,44
21-Jul,103,M,AGE_004,10
21-Jul,103,M,AGE_005,5
21-Jul,103,M,AGE_006,7
21-Jul,103,M,AGE_008,38
21-Jul,103,,AGE_001,4
21-Jul,103,,AGE_002,441
21-Jul,103,,AGE_003,238
21-Jul,103,,AGE_004,62
21-Jul,103,,AGE_005,57
21-Jul,103,,AGE_006,18
21-Jul,103,,AGE_007,1
21-Jul,103,,AGE_008,22
21-Jul,103,,AGE_002,61
21-Jul,103,,AGE_003,18
