대여소 ID,대여소명,자치구코드,위도,경도,"거치
대수"
102,망원역 1번출구 앞,111201,37.5556488,126.9106293,20
103,망원역 2번출구 앞,111201,37.55495071,126.9108353,14
104,합정역 1번출구 앞,111201,37.55062866,126.9149857,13
105,합정역 5번출구 앞,111201,37.55000687,126.9148254,5
106,합정역 7번출구 앞,111201,37.54864502,126.9128265,10
107,신한은행 서교동금융센터점 앞,111201,37.55751038,126.9185028,5
108,서교동 사거리,111201,37.55274582,126.9186173,10
109,제일빌딩 앞,111201,37.54769135,126.9199829,10
111,상수역 2번출구 앞,111201,37.54787064,126.9235306,10
112,극동방송국 앞,111201,37.54920197,126.9232025,10
113,홍대입구역 2번출구 앞,111201,37.55749893,126.9238052,25
114,홍대입구역 8번출구 앞,111201,37.55706024,126.9244232,15
115,마스타 빌딩 앞,111191,37.55893326,126.9271164,15
116,일진아이윌아파트 옆,111191,37.56454086,126.9270706,5
117,홍은사거리,111191,37.59115982,126.94133,25
118,광흥창역 2번출구 앞,111201,37.54773331,126.9317627,10
119,서강나루 공원,111201,37.54528427,126.9310532,10
120,신수동 사거리,111201,37.54524231,126.9341126,5
121,마포소방서 앞,111201,37.54976654,126.9331741,15
122,신성기사식당 앞,111201,37.54745865,126.9383774,10
123,문화촌 공원,111191,37.59432983,126.9473877,20
124,서강대 정문 건너편,111201,37.55113983,126.9369888,20
125,서강대 남문 옆,111201,37.54948425,126.9389496,15
126,서강대 후문 옆,111201,37.55041122,126.9438477,20
127,현대벤처빌 앞,111201,37.5535202,126.9369507,15
128,신촌역(2호선) 1번출구 옆,111191,37.55549622,126.9363403,20
129,신촌역(2호선) 6번출구 옆,111201,37.55505371,126.9375687,15
130,신촌역(2호선) 7번출구 앞,111201,37.55485916,126.9361572,10
131,증산2교,111191,37.5841713,126.9111023,23
133,해담는다리,111191,37.58203125,126.9089966,15
134,연세로 명물길,111191,37.55789185,126.9380798,8
135,명물길 원형무대 앞,111191,37.5591011,126.9391785,10
