연월,연월일,요일,이용건수,강수량(mm)
202107,20210701,목,"138,855",0
202107,20210702,금,"137,755",0
202107,20210703,토,"51,624",60
202107,20210704,일,"34,280",21.4
202107,20210705,월,"137,012",0
202107,20210706,화,"141,676",0
202107,20210707,수,"120,685",12.7
202107,20210708,목,"120,509",2.9
202107,20210709,금,"133,467",0
202107,20210710,토,"108,159",0.5
202107,20210711,일,"83,832",0.4
202107,20210712,월,"127,772",0
202107,20210713,화,"127,633",0
202107,20210714,수,"122,931",0
202107,20210715,목,"103,482",0
202107,20210716,금,"104,228",0
202107,20210717,토,"104,910",0
202107,20210718,일,"93,806",0
202107,20210719,월,"95,132",67.4
202107,20210720,화,"120,043",0
202107,20210721,수,"117,569",0
202107,20210722,목,"114,672",0
202107,20210723,금,"113,117",0
202107,20210724,토,"91,773",0
202107,20210725,일,"80,957",0
202107,20210726,월,"113,912",0
202107,20210727,화,"113,813",0
202107,20210728,수,"108,399",0
202107,20210729,목,"111,818",0
202107,20210730,금,"113,329",0
202107,20210731,토,"90,356",3
202108,20210801,일,"41,845",21
202108,20210802,월,"99,544",1.7
202108,20210803,화,"117,242",0
202108,20210804,수,"117,405",0
202108,20210805,목,"118,205",0
202108,20210806,금,"117,103",0
202108,20210807,토,"109,849",0
202108,20210808,일,"74,145",12.7
202108,20210809,월,"126,850",0
202108,20210810,화,"130,505",0
202108,20210811,수,"126,807",0
202108,20210812,목,"105,295",0
202108,20210813,금,"133,625",0
202108,20210814,토,"126,122",0
202108,20210815,일,"117,873",0
202108,20210816,월,"114,058",0
202108,20210817,화,"82,028",9.3
202108,20210818,수,"118,076",5.6
202108,20210819,목,"143,490",0
202108,20210820,금,"137,294",0
202108,20210821,토,"40,149",62.8
202108,20210822,일,"119,042",0
202108,20210823,월,"46,686",7.4
202108,20210824,화,"40,740",10.5
202108,20210825,수,"119,576",0.3
202108,20210826,목,"120,865",0.7
202108,20210827,금,"84,328",0.9
202108,20210828,토,"132,238",0
202108,20210829,일,"119,703",0.9
202108,20210830,월,"140,368",0
202108,20210831,화,"24,918",77.4
202109,20210901,수,"120,894",0.8
202109,20210902,목,"138,015",0
202109,20210903,금,"152,417",0
202109,20210904,토,"147,188",0
202109,20210905,일,"137,477",0
202109,20210906,월,"73,466",12
202109,20210907,화,"14,591",29.6
202109,20210908,수,"138,853",1.6
202109,20210909,목,"144,735",0
202109,20210910,금,"140,589",0
