RT ID,시간대구분,자치구코드
R11110T0,0,11110
R11140T0,0,11140
R11170T0,0,11170
R11200T0,0,11200
R11215T0,0,11215
R11230T0,0,11230
R11260T0,0,11260
R11290T0,0,11290
R11305T0,0,11305
R11320T0,0,11320
R11350T0,0,11350
R11380T0,0,11380
R11410T0,0,11410
R11440T0,0,11440
R11470T0,0,11470
R11500T0,0,11500
R11530T0,0,11530
R11545T0,0,11545
R11560T0,0,11560
R11590T0,0,11590
R11620T0,0,11620
R11650T0,0,11650
R11680T0,0,11680
R11710T0,0,11710
R11740T0,0,11740
R11110T1,1,11110
R11140T1,1,11140
R11170T1,1,11170
R11200T1,1,11200
R11215T1,1,11215
R11230T1,1,11230
R11260T1,1,11260
R11290T1,1,11290
R11305T1,1,11305
R11320T1,1,11320
R11350T1,1,11350
R11380T1,1,11380
R11410T1,1,11410
R11440T1,1,11440
R11470T1,1,11470
R11500T1,1,11500
R11530T1,1,11530
R11545T1,1,11545
R11560T1,1,11560
R11590T1,1,11590
R11620T1,1,11620
R11650T1,1,11650
R11680T1,1,11680
R11710T1,1,11710
R11740T1,1,11740
R11110T2,2,11110
R11140T2,2,11140
R11170T2,2,11170
R11200T2,2,11200
R11215T2,2,11215
R11230T2,2,11230
R11260T2,2,11260
R11290T2,2,11290
R11305T2,2,11305
R11320T2,2,11320
R11350T2,2,11350
R11380T2,2,11380
R11410T2,2,11410
R11440T2,2,11440
R11470T2,2,11470
R11500T2,2,11500
R11530T2,2,11530
R11545T2,2,11545
R11560T2,2,11560
R11590T2,2,11590
R11620T2,2,11620
R11650T2,2,11650
R11680T2,2,11680
R11710T2,2,11710
R11740T2,2,11740
R11110T3,3,11110
R11140T3,3,11140
R11170T3,3,11170
R11200T3,3,11200
R11215T3,3,11215
R11230T3,3,11230
R11260T3,3,11260
R11290T3,3,11290
R11305T3,3,11305
R11320T3,3,11320
R11350T3,3,11350
R11380T3,3,11380
R11410T3,3,11410
R11440T3,3,11440
R11470T3,3,11470
R11500T3,3,11500
R11530T3,3,11530
R11545T3,3,11545
R11560T3,3,11560
R11590T3,3,11590
R11620T3,3,11620
R11650T3,3,11650
R11680T3,3,11680
R11710T3,3,11710
R11740T3,3,11740
R11110T4,4,11110
R11140T4,4,11140
R11170T4,4,11170
R11200T4,4,11200
R11215T4,4,11215
R11230T4,4,11230
R11260T4,4,11260
R11290T4,4,11290
R11305T4,4,11305
R11320T4,4,11320
R11350T4,4,11350
R11380T4,4,11380
R11410T4,4,11410
R11440T4,4,11440
R11470T4,4,11470
R11500T4,4,11500
R11530T4,4,11530
R11545T4,4,11545
R11560T4,4,11560
R11590T4,4,11590
R11620T4,4,11620
R11650T4,4,11650
R11680T4,4,11680
R11710T4,4,11710
R11740T4,4,11740
R11110T5,5,11110
R11140T5,5,11140
R11170T5,5,11170
R11200T5,5,11200
R11215T5,5,11215
R11230T5,5,11230
R11260T5,5,11260
R11290T5,5,11290
R11305T5,5,11305
R11320T5,5,11320
R11350T5,5,11350
R11380T5,5,11380
R11410T5,5,11410
R11440T5,5,11440
R11470T5,5,11470
R11500T5,5,11500
R11530T5,5,11530
R11545T5,5,11545
R11560T5,5,11560
R11590T5,5,11590
R11620T5,5,11620
R11650T5,5,11650
R11680T5,5,11680
R11710T5,5,11710
R11740T5,5,11740
R11110T6,6,11110
R11140T6,6,11140
R11170T6,6,11170
R11200T6,6,11200
R11215T6,6,11215
R11230T6,6,11230
R11260T6,6,11260
R11290T6,6,11290
R11305T6,6,11305
R11320T6,6,11320
R11350T6,6,11350
R11380T6,6,11380
R11410T6,6,11410
R11440T6,6,11440
R11470T6,6,11470
R11500T6,6,11500
R11530T6,6,11530
R11545T6,6,11545
R11560T6,6,11560
R11590T6,6,11590
R11620T6,6,11620
R11650T6,6,11650
R11680T6,6,11680
R11710T6,6,11710
R11740T6,6,11740
R11110T7,7,11110
R11140T7,7,11140
R11170T7,7,11170
R11200T7,7,11200
R11215T7,7,11215
R11230T7,7,11230
R11260T7,7,11260
R11290T7,7,11290
R11305T7,7,11305
R11320T7,7,11320
R11350T7,7,11350
