추계인구ID,자치구,"성별(남자0,여자1)",연령대,이용자
EP001,종로구,0,10세 미만,3448
EP002,종로구,0,10대,3214
EP003,종로구,0,20대,7172
EP004,종로구,0,30대,7638
EP005,종로구,0,40대,8995
EP006,종로구,0,50대,9702
EP007,종로구,0,60대,10659
EP008,종로구,0,70세 이상,13993
EP009,종로구,1,9세 이하,3379
EP010,종로구,1,10대,3214
EP011,종로구,1,20대,8210
EP012,종로구,1,30대,8429
EP013,종로구,1,40대,9507
EP014,종로구,1,50대,9863
EP015,종로구,1,60대,10837
EP016,종로구,1,70세 이상,17639
EP017,중구,0,9세 이하,3222
EP018,중구,0,10대,2014
EP019,중구,0,20대,5143
EP020,중구,0,30대,7597
EP021,중구,0,40대,8164
EP022,중구,0,50대,8293
EP023,중구,0,60대,9387
EP024,중구,0,70세 이상,11650
EP025,중구,1,9세 이하,3151
EP026,중구,1,10대,2014
EP027,중구,1,20대,6115
EP028,중구,1,30대,8168
EP029,중구,1,40대,7937
EP030,중구,1,50대,8429
EP031,중구,1,60대,9487
EP032,중구,1,70세 이상,15442
EP033,용산구,0,9세 이하,6236
EP034,용산구,0,10대,4486
EP035,용산구,0,20대,8923
EP036,용산구,0,30대,13905
EP037,용산구,0,40대,15140
EP038,용산구,0,50대,14479
EP039,용산구,0,60대,15174
EP040,용산구,0,70세 이상,18349
EP041,용산구,1,9세 이하,5724
EP042,용산구,1,10대,4124
EP043,용산구,1,20대,10792
EP044,용산구,1,30대,14861
EP045,용산구,1,40대,15048
EP046,용산구,1,50대,14835
EP047,용산구,1,60대,15698
EP048,용산구,1,70세 이상,23868
EP049,성동구,0,9세 이하,9864
EP050,성동구,0,10대,6375
EP051,성동구,0,20대,13782
EP052,성동구,0,30대,19032
EP053,성동구,0,40대,21550
EP054,성동구,0,50대,21007
EP055,성동구,0,60대,21725
EP056,성동구,0,70세 이상,25948
EP057,성동구,1,9세 이하,9532
EP058,성동구,1,10대,6494
EP059,성동구,1,20대,15465
EP060,성동구,1,30대,20950
EP061,성동구,1,40대,21626
