연번,호선,고유역번호(외부역코드),수송연월,하차인원수,자치구,호선역
1,1,150,44583,1050145,중구,서울역(1)
2,1,151,44583,508237,중구,시청(1)
3,1,152,44583,796150,종로구,종각(1)
4,1,153,44583,601965,종로구,종로3가(1)
5,1,154,44583,552920,종로구,종로5가(1)
6,1,155,44583,281274,종로구,동대문(1)
7,1,156,44583,338965,동대문구,신설동(1)
8,1,157,44583,492913,동대문구,제기동(1)
9,1,158,44583,544757,동대문구,청량리(1)
10,1,159,44583,255518,종로구,동묘앞(1)
11,2,201,44583,504488,중구,시청(2)
12,2,202,44583,952048,중구,을지로입구(2)
13,2,203,44583,524327,중구,을지로3가(2)
14,2,204,44583,303297,중구,을지로4가(2)
15,2,205,44583,356653,중구,동대문역사문화공원(2)
16,2,206,44583,371778,중구,신당(2)
17,2,207,44583,350972,성동구,상왕십리(2)
18,2,208,44583,346966,성동구,왕십리(2)
19,2,209,44583,170492,성동구,한양대(2)
20,2,210,44583,576861,성동구,뚝섬(2)
21,2,211,44583,984953,성동구,성수(2)
22,2,212,44583,1016924,광진구,건대입구(2)
23,2,213,44583,595740,광진구,구의(2)
24,2,214,44583,783866,광진구,강변(2)
25,2,215,44583,337170,송파구,잠실나루(2)
26,2,216,44583,1818865,송파구,잠실(2)
27,2,217,44583,550080,송파구,잠실새내(2)
28,2,218,44583,207320,송파구,종합운동장(2)
29,2,219,44583,1273126,강남구,삼성(2)
30,2,220,44583,1163713,강남구,선릉(2)
31,2,221,44583,1352638,강남구,역삼(2)
32,2,222,44583,2149571,강남구,강남(2)
33,2,223,44583,902146,서초구,교대(2)
34,2,224,44583,502350,서초구,서초(2)
35,2,225,44583,416331,서초구,방배(2)
36,2,226,44583,1032181,동작구,사당(2)
37,2,227,44583,677609,관악구,낙성대(2)
38,2,228,44583,1205414,관악구,서울대입구(2)
39,2,229,44583,568513,관악구,봉천(2)
40,2,230,44583,1609570,관악구,신림(2)
41,2,231,44583,664763,동작구,신대방(2)
42,2,232,44583,1457395,구로구,구로디지털단지(2)
43,2,233,44583,638186,구로구,대림(2)
44,2,234,44583,1215029,구로구,신도림(2)
45,2,235,44583,527164,영등포구,문래(2)
46,2,236,44583,572004,영등포구,영등포구청(2)
47,2,237,44583,517697,영등포구,당산(2)
48,2,238,44583,859535,마포구,합정(2)
49,2,239,44583,1589013,마포구,홍대입구(2)
50,2,240,44583,870854,마포구,신촌(2)
51,2,241,44583,338601,마포구,이대(2)
